track_name,album_name,valence,energy,data_type
Out Of The Woods,1989,0.338,0.841,ACTUAL
All You Had To Do Was Stay,1989,0.539,0.725,ACTUAL
Shake It Off,1989,0.942,0.8,ACTUAL
I Wish You Would,1989,0.513,0.893,ACTUAL
Bad Blood,1989,0.287,0.794,ACTUAL
Wildest Dreams,1989,0.465,0.688,ACTUAL
How You Get The Girl,1989,0.545,0.656,ACTUAL
This Love,1989,0.107,0.435,ACTUAL
I Know Places,1989,0.495,0.755,ACTUAL
Clean,1989,0.211,0.377,ACTUAL
Wonderland,1989,0.197,0.692,ACTUAL
You Are In Love,1989,0.319,0.48,ACTUAL
New Romantics,1989,0.584,0.889,ACTUAL
...Ready For It?,reputation,0.417,0.764,ACTUAL
End Game,reputation,0.151,0.589,ACTUAL
I Did Something Bad,reputation,0.305,0.602,ACTUAL
Don't Blame Me,reputation,0.193,0.534,ACTUAL
Delicate,reputation,0.0499,0.404,ACTUAL
Look What You Made Me Do,reputation,0.506,0.709,ACTUAL
So It Goes...,reputation,0.374,0.61,ACTUAL
Gorgeous,reputation,0.451,0.535,ACTUAL
Getaway Car,reputation,0.351,0.689,ACTUAL
King Of My Heart,reputation,0.314,0.703,ACTUAL
Dancing With Our Hands Tied,reputation,0.284,0.691,ACTUAL
Dress,reputation,0.0851,0.469,ACTUAL
This Is Why We Can't Have Nice Things,reputation,0.438,0.789,ACTUAL
Call It What You Want,reputation,0.252,0.504,ACTUAL
New Year's Day,reputation,0.23,0.151,ACTUAL
I Forgot That You Existed,Lover,0.541,0.316,ACTUAL
Cruel Summer,Lover,0.564,0.702,ACTUAL
Lover,Lover,0.453,0.543,ACTUAL
The Man,Lover,0.633,0.658,ACTUAL
The Archer,Lover,0.166,0.574,ACTUAL
I Think He Knows,Lover,0.416,0.366,ACTUAL
Miss Americana & The Heartbreak Prince,Lover,0.487,0.747,ACTUAL
Paper Rings,Lover,0.865,0.719,ACTUAL
Cornelia Street,Lover,0.248,0.624,ACTUAL
Death By A Thousand Cuts,Lover,0.313,0.732,ACTUAL
London Boy,Lover,0.557,0.71,ACTUAL
Soon You'll Get Better,Lover,0.421,0.182,ACTUAL
False God,Lover,0.351,0.32,ACTUAL
You Need To Calm Down,Lover,0.714,0.671,ACTUAL
Afterglow,Lover,0.399,0.449,ACTUAL
ME!,Lover,0.728,0.83,ACTUAL
It's Nice To Have A Friend,Lover,0.545,0.175,ACTUAL
Daylight,Lover,0.265,0.496,ACTUAL
the 1,folklore,0.163,0.361,ACTUAL
cardigan,folklore,0.534,0.58,ACTUAL
the last great american dynasty,folklore,0.701,0.653,ACTUAL
exile,folklore,0.16,0.374,ACTUAL
my tears ricochet,folklore,0.112,0.265,ACTUAL
mirrorball,folklore,0.347,0.417,ACTUAL
seven,folklore,0.374,0.494,ACTUAL
august,folklore,0.42,0.634,ACTUAL
this is me trying,folklore,0.408,0.478,ACTUAL
illicit affairs,folklore,0.44,0.304,ACTUAL
invisible string,folklore,0.454,0.459,ACTUAL
mad woman,folklore,0.451,0.7,ACTUAL
epiphany,folklore,0.103,0.254,ACTUAL
betty,folklore,0.476,0.376,ACTUAL
peace,folklore,0.328,0.284,ACTUAL
hoax,folklore,0.404,0.178,ACTUAL
the lakes,folklore,0.268,0.258,ACTUAL
willow,evermore,0.529,0.574,ACTUAL
champagne problems,evermore,0.32,0.24,ACTUAL
gold rush,evermore,0.353,0.462,ACTUAL
'tis the damn season,evermore,0.348,0.434,ACTUAL
tolerate it,evermore,0.221,0.361,ACTUAL
"no body, no crime",evermore,0.535,0.613,ACTUAL
happiness,evermore,0.211,0.334,ACTUAL
dorothea,evermore,0.354,0.488,ACTUAL
coney island,evermore,0.292,0.537,ACTUAL
ivy,evermore,0.535,0.545,ACTUAL
cowboy like me,evermore,0.511,0.517,ACTUAL
long story short,evermore,0.573,0.73,ACTUAL
marjorie,evermore,0.287,0.561,ACTUAL
closure,evermore,0.92,0.704,ACTUAL
evermore,evermore,0.32,0.27,ACTUAL
right where you left me,evermore,0.645,0.619,ACTUAL
it's time to go,evermore,0.416,0.41,ACTUAL
Lavender Haze,Midnights,0.0984,0.444,ACTUAL
Maroon,Midnights,0.0382,0.378,ACTUAL
Anti-Hero,Midnights,0.519,0.634,ACTUAL
Snow On The Beach,Midnights,0.154,0.323,ACTUAL
"You're On Your Own, Kid",Midnights,0.376,0.38,ACTUAL
Midnight Rain,Midnights,0.23,0.377,ACTUAL
Question...?,Midnights,0.112,0.502,ACTUAL
Vigilante Shit,Midnights,0.16,0.279,ACTUAL
Bejeweled,Midnights,0.412,0.55,ACTUAL
Labyrinth,Midnights,0.141,0.313,ACTUAL
Karma,Midnights,0.106,0.622,ACTUAL
Sweet Nothing,Midnights,0.396,0.161,ACTUAL
Mastermind,Midnights,0.13,0.352,ACTUAL
The Great War,Midnights,0.554,0.741,ACTUAL
Bigger Than The Whole Sky,Midnights,0.068,0.235,ACTUAL
Paris,Midnights,0.345,0.509,ACTUAL
High Infidelity,Midnights,0.755,0.529,ACTUAL
Glitch,Midnights,0.347,0.466,ACTUAL
"Would've, Could've, Should've",Midnights,0.55,0.84,ACTUAL
Dear Reader,Midnights,0.159,0.388,ACTUAL
Mine (Taylor’s Version),Speak Now (Taylor's Version),0.4357549548149109,0.6923615336418152,PREDICTED
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),0.4688548147678375,0.6647616028785706,PREDICTED
Back To December (Taylor’s Version),Speak Now (Taylor's Version),0.40970343351364136,0.613867461681366,PREDICTED
Speak Now (Taylor’s Version),Speak Now (Taylor's Version),0.5492812395095825,0.6109179854393005,PREDICTED
Dear John (Taylor’s Version),Speak Now (Taylor's Version),0.34209752082824707,0.5401514768600464,PREDICTED
Mean (Taylor’s Version),Speak Now (Taylor's Version),0.5153095126152039,0.6620820760726929,PREDICTED
The Story Of Us (Taylor’s Version),Speak Now (Taylor's Version),0.44774329662323,0.501213788986206,PREDICTED
Never Grow Up (Taylor’s Version),Speak Now (Taylor's Version),0.5251448750495911,0.5308467149734497,PREDICTED
Enchanted (Taylor’s Version),Speak Now (Taylor's Version),0.35418739914894104,0.6290022134780884,PREDICTED
Better Than Revenge (Taylor’s Version),Speak Now (Taylor's Version),0.5374895334243774,0.8113138675689697,PREDICTED
Innocent (Taylor’s Version),Speak Now (Taylor's Version),0.2732524573802948,0.5421326160430908,PREDICTED
Haunted (Taylor’s Version),Speak Now (Taylor's Version),0.3164677321910858,0.8815641403198242,PREDICTED
Last Kiss (Taylor’s Version),Speak Now (Taylor's Version),0.3138276934623718,0.43212971091270447,PREDICTED
Long Live (Taylor’s Version),Speak Now (Taylor's Version),0.29829293489456177,0.3643118441104889,PREDICTED
Ours (Taylor’s Version),Speak Now (Taylor's Version),0.2802494168281555,0.5486024618148804,PREDICTED
Superman (Taylor’s Version),Speak Now (Taylor's Version),0.48626643419265747,0.6520938277244568,PREDICTED
Electric Touch (Taylor’s Version) [From the Vault],Speak Now (Taylor's Version),0.4283180236816406,0.6451125741004944,PREDICTED
When Emma Falls in Love (Taylor’s Version) [From the Vault],Speak Now (Taylor's Version),0.5391153693199158,0.698310136795044,PREDICTED
I Can See You (Taylor’s Version) [From The Vault],Speak Now (Taylor's Version),0.5124603509902954,0.4065922796726227,PREDICTED
Castles Crumbling (Taylor’s Version) [From The Vault],Speak Now (Taylor's Version),0.30882528424263,0.528267502784729,PREDICTED
Foolish One (Taylor’s Version) [From The Vault],Speak Now (Taylor's Version),0.44568172097206116,0.6216030120849609,PREDICTED
Timeless (Taylor’s Version) [From The Vault],Speak Now (Taylor's Version),0.3227854073047638,0.7927669882774353,PREDICTED
Speak Now (Taylor’s Version) [Prologue],Speak Now (Taylor's Version),0.4935784637928009,0.7770319581031799,PREDICTED
Welcome To New York (Taylor’s Version),1989 (Taylor's Version),0.4337122440338135,0.6737543940544128,PREDICTED
Blank Space (Taylor’s Version),1989 (Taylor's Version),0.6024701595306396,0.8212408423423767,PREDICTED
Style (Taylor’s Version),1989 (Taylor's Version),0.4015803039073944,0.6343801617622375,PREDICTED
Out Of The Woods (Taylor’s Version),1989 (Taylor's Version),0.3719123303890228,0.8101186752319336,PREDICTED
All You Had To Do Was Stay (Taylor’s Version),1989 (Taylor's Version),0.3844575881958008,0.648708164691925,PREDICTED
Shake It Off (Taylor’s Version),1989 (Taylor's Version),0.6714544296264648,0.7807871699333191,PREDICTED
I Wish You Would (Taylor’s Version),1989 (Taylor's Version),0.48097464442253113,0.8619101047515869,PREDICTED
Bad Blood (Taylor’s Version),1989 (Taylor's Version),0.30280783772468567,0.7778492569923401,PREDICTED
Wildest Dreams (Taylor’s Version),1989 (Taylor's Version),0.48370325565338135,0.6795915365219116,PREDICTED
How You Get The Girl (Taylor’s Version),1989 (Taylor's Version),0.34614619612693787,0.6311714053153992,PREDICTED
This Love (Taylor’s Version),1989 (Taylor's Version),0.3971954584121704,0.48951348662376404,PREDICTED
I Know Places (Taylor’s Version),1989 (Taylor's Version),0.4026794731616974,0.4867439866065979,PREDICTED
Clean (Taylor’s Version),1989 (Taylor's Version),0.2709786891937256,0.4684070348739624,PREDICTED
Wonderland (Taylor’s Version),1989 (Taylor's Version),0.4072004556655884,0.6897633671760559,PREDICTED
